Plant_ID,Plot,Row,Column,Position,Treatment,PlantDate(L),Planting Person (L),LeftMeasure(mm),PlantDate(R),Planting Person (R),RightMeasure(mm),%: 4/15/22,PER: 4/15/22,%: 4/21/22,PER: 4/21/22,PER: 4/29/22,Initial PER: 5/6/22,PER: 5/13/22,PER: 5/20/22,PER: 5/27/22,PER: 6/2/22,PER: 6/9/2022,Mortality Date (L),Mortality Date (R),Notes
13,D1,A,1,A1,Shade,3/17/2022,Emma Snyder,19,3/21/2022,Miranda Melen,23,10,1.259,8.8,1.238,1.238,1.241,1.229,,,,,5/20/22,5/13/22,
14,D1,A,2,A2,No Shade,3/17/2022,Emma Snyder,15,3/17/2022,Emma Snyder,7,15.2,1.342,18.2,1.385,1.267,1.221,1.222,,,,,5/20/22,5/20/22,
15,D1,B,1,B1,Shade,3/17/2022,Emma Snyder,24,3/17/2022,Emma Snyder,11,10.3,1.262,10.7,1.269,1.242,1.229,,,,,,5/13/22,4/29/22,
16,D1,B,2,B2,No Shade,3/17/2022,Emma Snyder,20,3/21/2022,Rachael Bradley,21,10.9,1.273,13.7,1.318,1.171,1.169,1.158,,,,,5/20/22,5/20/22,
17,E5,A,1,A1,No Shade,3/17/2022,Emma Snyder,16,3/17/2022,Emma Snyder,16,13.4,1.314,17.1,1.364,1.252,1.213,1.198,1.114,,,,5/20/22,5/27/22,
18,E5,A,2,A2,Shade,3/17/2022,Emma Snyder,17,3/17/2022,Emma Snyder,20,12.8,1.302,,,,,,,,,,4/15/22,4/15/22,
19,E5,B,1,B1,Shade,3/17/2022,Emma Snyder,19,3/17/2022,Emma Snyder,8,9.7,1.255,11.9,1.293,1.257,1.217,1.199,,,,,5/13/22,5/20/22,
20,E5,B,2,B2,No Shade,3/17/2022,Emma Snyder,7,3/17/2022,Emma Snyder,12,15.9,1.351,16.8,1.364,1.241,1.242,1.205,,,,,5/20/22,5/20/22,
21,F1,A,1,A1,Shade,3/17/2022,Emma Snyder,26,3/25/2022,Emma Snyder,14,8.8,1.239,8.1,1.226,1.295,1.212,,,,,,5/13/22,5/6/22,
22,F1,A,2,A2,No Shade,3/17/2022,Emma Snyder,29,3/17/2022,Emma Snyder,21,16.2,1.355,17.3,1.371,1.322,1.248,1.249,1.207,,,,5/27/22,5/27/22,
23,F1,B,1,B1,No Shade,3/17/2022,Emma Snyder,17,3/17/2022,Emma Snyder,18,8.7,1.238,15.8,1.348,1.225,1.243,1.203,,,,,5/20/22,5/20/22,
24,F1,B,2,B2,Shade,3/17/2022,Emma Snyder,18,3/17/2022,Emma Snyder,16,15.7,1.346,13.9,1.32,1.301,1.262,1.225,,,,,5/20/22,5/20/22,
25,G1,A,1,A1,Shade,3/21/2022,Miranda Melen,14,3/17/2022,Emma Snyder,16,10.7,1.268,9.5,1.249,1.234,,,,,,,5/6/22,4/15/22,
26,G1,A,2,A2,Shade,3/17/2022,Emma Snyder,16,3/17/2022,Emma Snyder,21,11.9,1.289,,,,,,,,,,4/15/22,4/15/22,
27,G1,B,1,B1,No Shade,3/21/2022,Miranda Melen,21,3/21/2022,Miranda Melen,16,12.8,1.303,18.8,1.395,1.287,1.226,1.239,,,,,5/13/22,5/20/22,
28,G1,B,2,B2,No Shade,3/21/2022,Miranda Melen,14,3/21/2022,Miranda Melen,14,13.4,1.312,20.8,1.423,1.266,1.253,1.211,,,,,5/20/22,5/13/22,
29,H4,A,1,A1,No Shade,3/17/2022,Emma Snyder,19,3/17/2022,Emma Snyder,20,10.7,1.269,15.6,1.346,1.239,1.172,1.169,,,,,5/20/22,5/20/22,
30,H4,A,2,A2,Shade,3/17/2022,Emma Snyder,22,3/17/2022,Emma Snyder,20,8.6,1.234,7.4,1.213,1.2,1.203,,,,,,5/13/22,4/15/22,
31,H4,B,1,B1,Shade,3/17/2022,Emma Snyder,21,3/17/2022,Emma Snyder,17,11.2,1.276,9.2,1.244,1.214,1.238,,,,,,5/13/22,4/7/22,
32,H4,B,2,B2,No Shade,3/17/2022,Emma Snyder,18,3/21/2022,Rachael Bradley,16,11.3,1.279,16,1.353,1.234,1.222,1.212,,,,,5/20/22,5/20/22,
33,H5,A,1,A1,No Shade,4/1/2022,Emma Snyder,16,4/1/2022,Emma Snyder,16,13.9,1.32,,,,,,,,,,4/7/22,4/21/22,
34,H5,A,2,A2,Shade,3/17/2022,Emma Snyder,18,3/17/2022,Emma Snyder,32,14.2,1.352,6.5,1.199,1.121,1.182,1.131,,,,,5/13/22,5/20/22,
35,H5,B,1,B1,No Shade,3/17/2022,Emma Snyder,18,4/1/2022,Emma Snyder,16,10,1.262,21.6,1.437,1.291,1.251,1.159,,,,,5/20/22,4/7/22,
36,H5,B,2,B2,Shade,3/17/2022,Emma Snyder,25,3/17/2022,Emma Snyder,25,13.5,1.313,11.9,1.289,1.252,1.265,1.238,,,,,5/20/22,4/15/22,
37,I4,A,1,A1,Shade,3/17/2022,Rachael Bradley,16,3/17/2022,Rachael Bradley,18,10.8,1.27,12.1,1.292,1.225,1.243,,,,,,4/7/22,5/13/22,
38,I4,A,2,A2,No Shade,3/17/2022,Rachael Bradley,16,3/17/2022,Rachael Bradley,21,13.9,1.32,16.7,1.362,1.261,1.206,,,,,,5/13/22,5/13/22,
39,I4,B,1,B1,No Shade,4/1/2022,Emma Snyder,17,3/17/2022,Rachael Bradley,17,10.7,1.27,19.2,1.399,1.246,1.97,,,,,,4/7/22,5/13/22,
40,I4,B,2,B2,Shade,3/17/2022,Rachael Bradley,15,3/17/2022,Rachael Bradley,15,11.9,1.287,12.8,1.303,1.234,1.194,,,,,,5/13/22,4/15/22,
41,J2,A,1,A1,Shade,3/17/2022,Rachael Bradley,24,3/17/2022,Rachael Bradley,22,11.6,1.283,10.9,1.273,1.214,1.231,,,,,,5/13/22,5/6/22,
42,J2,A,2,A2,Shade,4/1/2022,Emma Snyder,19,3/17/2022,Rachael Bradley,27,14.6,1.33,,,,,,,,,,4/7/22,4/7/22,
43,J2,B,1,B1,No Shade,3/17/2022,Rachael Bradley,21,3/17/2022,Rachael Bradley,23,12.6,1.301,17.3,1.372,1.255,1.216,,,,,,5/13/22,4/7/22,
44,J2,B,2,B2,No Shade,3/17/2022,Rachael Bradley,26,3/17/2022,Rachael Bradley,27,13.9,1.321,21.1,1.427,1.281,1.249,1.231,,,,,4/7/22,5/20/22,
